;Auzeville_PP_2011_M13;Auzeville_PP_2011_M14;Auzeville_PP_2011_M15;Auzeville_PP_2011_M16;Auzeville_SGs_2007_M36;Auzeville_SGs_2007_M37;Auzeville_SGs_2007_M38;Auzeville_SGs_2007_M39;Auzeville_SGs_2007_M40;Auzeville_SGs_2007_M42;Auzeville_SGs_2007_M44;Auzeville_SGs_2007_M45;Auzeville_SGs_2007_M47;Auzeville_SGs_2007_M50;Auzeville_TE_2006_M10;Auzeville_TE_2006_M8;Auzeville_TE_2006_M9;Auzeville_TO_2013_M36;Auzeville_TO_2013_M37;Auzeville_TO_2013_M39;Auzeville_TO_2013_M40;Auzeville_TO_2013_M45;Auzeville_TO_2013_M47;Auzeville_TO_2013_M48;Auzeville_TO_2013_M51;Auzeville_TO_2013_M53;Auzeville_TO_2013_M57;Auzeville_TO_2013_M58;Auzeville_TO_2013_M63;Auzeville_TO_2013_M64;Auzeville_ZN_2012_M23;Auzeville_ZN_2012_M24;Auzeville_ZN_2012_M25;Auzeville_ZN_2012_M26;Auzeville_ZN_2012_M27;Auzeville_ZN_2012_M28;Auzeville_ZN_2012_M29;Auzeville_ZN_2012_M30;Auzeville_ZN_2012_M31;Auzeville_ZN_2012_M32;Auzeville_ZN_2012_M33;Auzeville_ZN_2012_M34;Auzeville_ZN_2012_M35;Auzeville_ZN_2012_M36;Auzeville_ZN_2012_M37;Auzeville_ZN_2012_M38;Auzeville_ZN_2012_M39;Auzeville_ZN_2012_M40;Auzeville_cochard_2010_M21;Auzeville_cochard_2010_M22;Auzeville_cochard_2010_M23;Auzeville_cochard_2010_M24;Auzeville_cochard_2010_M25;Auzeville_cochard_2010_M26;Auzeville_cochard_2010_M27;Auzeville_cochard_2010_M28;Auzeville_cochard_2010_M29;Auzeville_cochard_2010_M30;Auzeville_cochard_2010_M31;Auzeville_cochard_2010_M32;Auzeville_cochard_2010_M33;Auzeville_cochard_2010_M34;Auzeville_cochard_2010_M35;Auzeville_cochard_2010_M36;Auzeville_cochard_2010_M37;Auzeville_cochard_2010_M38;Auzeville_cochard_2010_M39;Auzeville_cochard_2010_M40
0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
2;-0.9956250787793859;-0.9752056553294306;-0.9779320924441519;-0.9897747833325661;-0.9617334284992607;-0.9698589810550597;-0.9553122790948048;-0.9526286483955126;-0.9512818328998558;-0.9701798957185217;-0.9314431622720512;-0.9218273231617884;-0.9850938626721164;-0.9899444445151959;-0.9492084479062517;-0.9804072525759544;-0.9666119050950734;-1.0209121178192078;-0.944901250844904;-0.9764109119212709;-0.9787952524374801;-0.9719420883290193;-0.9979283439142039;-0.9987852270632751;-0.9715601652554877;-0.9876593819001587;-0.9706571664755275;-1.013968127707288;-0.9618876234017173;-0.9741936516465706;-0.9993522708265448;-0.9536126661154027;-0.984597015155888;-0.8752796696586904;-0.9708403257361555;-0.9978511299998201;-0.9744617733340275;-0.9726303234134726;-1.0028668236497529;-0.9735362294944312;-0.9680738044659367;-0.950432199742161;-0.9956409041072376;-0.9713683543230853;-0.999754913426079;-0.8991099492425993;-0.9313808169931994;-0.9429176693026953;-0.9561604512025688;-0.9869462888940397;-0.9973170571746452;-0.9313412129595819;-0.9712825646693684;-0.9919065388325576;-0.9965706286379199;-0.9646240708687268;-0.9472477598195685;-0.9987651951422862;-0.997417796637466;-0.942917902801685;-0.9281333526581663;-0.9924986635273174;-0.9944721551286491;-0.954407167189067;-0.9753099153715059;-0.9979457765817841;-1.0045583977224575;-0.9536553504189436
3;-0.49742469724690697;-0.48525391651773875;-0.4868935149111573;-0.4939632189947494;-0.4777285935401432;-0.482530100034702;-0.47390600723611476;-0.4723009585992588;-0.47149377943568904;-0.4827189199434261;-0.4594735262303391;-0.45355796307198815;-0.49142664344967657;-0.49423058627483907;-0.46891200542242917;-0.48819667955943413;-0.4797448874771224;-0.5122185011238325;-0.4665492022627855;-0.48590716590011485;-0.48734690302330685;-0.4831993796310545;-0.49877565557963477;-0.49924286193817613;-0.4829673924676521;-0.49266905218531054;-0.48241853672623347;-0.508189407863666;-0.47706201008678684;-0.48456519714681634;-0.4996096288948013;-0.4713894352126158;-0.49064802023674225;-0.4198652009693271;-0.482172115178487;-0.49870395436945514;-0.4844148409323401;-0.4832816709373444;-0.5017247375746468;-0.4838424433648467;-0.4804532802434356;-0.46937799068285746;-0.4973129759167976;-0.48249963059344303;-0.4998523218160822;-0.4359892128057661;-0.4571906192570492;-0.46459938560913083;-0.4736098025264377;-0.4919403830757796;-0.4983520892460389;-0.45813821295946133;-0.48284549952304356;-0.4950153670740063;-0.4978928331583423;-0.478796401086903;-0.4680992726541571;-0.49924210994022733;-0.4984140450939074;-0.46540396783547155;-0.4561094607592622;-0.4953814184576717;-0.49659986311674964;-0.47252975456795476;-0.48528132507092203;-0.49873865635678016;-0.5027897460677737;-0.4720660309097995
4;-0.3314805412903754;-0.32263737955231897;-0.32383713273162695;-0.3289801302180835;-0.3174420684667636;-0.32090840692616296;-0.31466630921698946;-0.3134965161240306;-0.31290726369595667;-0.3210442628566248;-0.3040552686665401;-0.2996452185263381;-0.3272721352273553;-0.32926211551286344;-0.3102546281943961;-0.32468451499898077;-0.31840671621115346;-0.3420690169083207;-0.30867260911750716;-0.3230791414462031;-0.3241356328875944;-0.3210865872201172;-0.33245012921474193;-0.332762628192099;-0.32091553844168885;-0.3280233762145872;-0.32051064291171727;-0.3392040388200066;-0.31654328578235713;-0.3220925477239387;-0.3330470908252938;-0.31195197489201765;-0.32643469020829774;-0.27127290724722375;-0.320107076550451;-0.33238242385279504;-0.3217883961401662;-0.3209395204389327;-0.33459622835346203;-0.3213597660857419;-0.31881505688940637;-0.31041744003303906;-0.33133142653965253;-0.3203529245374468;-0.3332250647352055;-0.2843169528669751;-0.30102905020174453;-0.3067549273321186;-0.31397912749767354;-0.32730796743494817;-0.3321066267434536;-0.30230671591011227;-0.32083081888085085;-0.3296144871880098;-0.3317642751743022;-0.3178374480199051;-0.3098499637213792;-0.3327694939856425;-0.3321527955496262;-0.30781900122807593;-0.3007577440784255;-0.3298884275845806;-0.3307993049031428;-0.3131722584278689;-0.3226236856060929;-0.3323946298601852;-0.33540389227689116;-0.3128254620769646
5;-0.24856316180114724;-0.2416498824848745;-0.2425932193472995;-0.2466177487925636;-0.23776725802665277;-0.2404606853597373;-0.23560017867750838;-0.23468415716620838;-0.234222116783678;-0.24056596058472235;-0.22723086165589002;-0.22371225748604018;-0.24536880478793588;-0.2468939542405142;-0.23162648223411852;-0.24318942555002554;-0.2381899916359318;-0.2567388084998805;-0.23049135628150275;-0.241976351083677;-0.2428087668491523;-0.24040278562103712;-0.24931377134556953;-0.24953924632431268;-0.24026748343422755;-0.2458605476023541;-0.2399470653360145;-0.25453841212229933;-0.23679704020386083;-0.2411978078810828;-0.24977434553552613;-0.23287335738499304;-0.2445344614393563;-0.19869846026495463;-0.2394711043829607;-0.24924999257774694;-0.24082122546240292;-0.24013999699171928;-0.2509944264837787;-0.24047735635140466;-0.23843125709553115;-0.23162268841919986;-0.2484037404854067;-0.23966873810359535;-0.24991465966556148;-0.20989269075779204;-0.2239067716617149;-0.2286258144821829;-0.23473340061651693;-0.2451728086429259;-0.24902077285619728;-0.22530701769539285;-0.24018913602954206;-0.24702583710094017;-0.2487471661206071;-0.23781260419686379;-0.2314179664208036;-0.24955013528961034;-0.2490576601115715;-0.229779568606578;-0.22404339827393382;-0.2472454899854284;-0.24797520557322583;-0.23408717805665047;-0.24160740251813517;-0.24925083544454063;-0.2516487544695991;-0.23380918450048127
6;-0.19884094737446656;-0.19322670519815888;-0.19399646642544255;-0.19726738426194368;-0.19019989337399856;-0.19237428851099758;-0.18844353701401473;-0.18769927416906063;-0.18732344964589642;-0.1924590851716863;-0.1816022217729163;-0.17869808201545978;-0.1963124178470148;-0.19752984019019681;-0.18483801174009318;-0.19443215175968342;-0.19030596308368697;-0.20541118888129795;-0.1840004603673393;-0.1934804811953721;-0.1941607660859821;-0.19219200222596666;-0.19944568954112807;-0.19961447040009572;-0.19208106032575722;-0.19664702923305222;-0.19181823482978522;-0.20365068957264532;-0.18922714772035287;-0.19284339700095976;-0.1998151883288286;-0.18578097621975487;-0.19550486442216286;-0.156193987516565;-0.19130513468946764;-0.19938548392943778;-0.1924283240632978;-0.19186190378732104;-0.20081364404255808;-0.19214248533780576;-0.19043839841888022;-0.18472714508584387;-0.19868204070433393;-0.19146970243946648;-0.19993011385956994;-0.1660694461276595;-0.17817798457358291;-0.1821932090799634;-0.1874915988053587;-0.1959904838290929;-0.19918914813438882;-0.17961258529359103;-0.19199702324002188;-0.19753329791329177;-0.19896236009425117;-0.1900393325804468;-0.18473415899782286;-0.1996276459611097;-0.1992197157656248;-0.18336601638275152;-0.1785471662279463;-0.1977158750742649;-0.19832195910430683;-0.18695529961534696;-0.19316176207320535;-0.19937976630990484;-0.20136239076273665;-0.18672442029060776
7;-0.16570857202552114;-0.16104138791638567;-0.16168389590845567;-0.16440486616893502;-0.15862342098100735;-0.1604194248493802;-0.15716791069578417;-0.15654983415575496;-0.15623743454638372;-0.1604893324002361;-0.15145719726988416;-0.149012958284779;-0.16365561759900427;-0.1646517387993458;-0.15387724044890572;-0.1620077915970255;-0.15852711120905227;-0.17112209812202472;-0.153254848684919;-0.16124500549801524;-0.16181349969117398;-0.1601664832376466;-0.16620799204971237;-0.16633677446675543;-0.16007351022637972;-0.1638856993243698;-0.15985318462655496;-0.16967694537955702;-0.15767587386079995;-0.16071202491037329;-0.16651166550760066;-0.1546000744531788;-0.1628830146367506;-0.12854071292435343;-0.15932221433053773;-0.16615108870249062;-0.16027698307760074;-0.1597957215997432;-0.16734850086186182;-0.16003417610243265;-0.15858421247248788;-0.153694241516795;-0.16555500471447981;-0.15946221793359672;-0.16660805892123243;-0.13738573717317903;-0.14802851109058102;-0.1515095578254979;-0.15617499978993177;-0.16326153050023362;-0.16597987729335095;-0.1494520863947595;-0.15997938857384608;-0.16457448642212658;-0.16578762211264575;-0.1583298505085846;-0.15383233638909144;-0.16635139911702956;-0.166005784848956;-0.15266593798682715;-0.1485360973861467;-0.16472963816129194;-0.16524434150165446;-0.15572022392086904;-0.1609582216824208;-0.16614141390981496;-0.1678185196792772;-0.15552431418302914
8;-0.14205210904635268;-0.1381115332108418;-0.1386558920517924;-0.1409545495103659;-0.1361517167291959;-0.13765705598943145;-0.1349283373428125;-0.13440790270818126;-0.13414464335259546;-0.1377155555053009;-0.13009851561274433;-0.12801663281834208;-0.14035777318608478;-0.14118605025901587;-0.13191177106013097;-0.13889791025576548;-0.1359191554360648;-0.14658794487270121;-0.13145264855384076;-0.13827864905302834;-0.13876073714799997;-0.1373627544487439;-0.14247144869378148;-0.14257048581536536;-0.13728372088440066;-0.14051399436355583;-0.13709637812590647;-0.14538094509265287;-0.1352411780176972;-0.1378262479661665;-0.14272502133690623;-0.13246556934507203;-0.13962192875883206;-0.10926534358638906;-0.1365579734398088;-0.14241753318024664;-0.1373813670225601;-0.1369664960817225;-0.14343791518358429;-0.13717209856140644;-0.13592058982803268;-0.13167670651467112;-0.1419061081316222;-0.13667879755292178;-0.14280719029817068;-0.11725912780004122;-0.12671434315564367;-0.12976902376294808;-0.13391724048058373;-0.1399207802577882;-0.1422662818173701;-0.12810288156920024;-0.13717763184448506;-0.1410550194544209;-0.14210075548160028;-0.13576659454009876;-0.13189886321927924;-0.14258599714816245;-0.1422885833261618;-0.1308908655943848;-0.12730541300889908;-0.14118888337817204;-0.1416327108861204;-0.133526057595464;-0.13801304333539055;-0.14240531814629853;-0.14384654928789287;-0.13335744774452585
9;-0.12431586636616121;-0.12095312354233556;-0.12141904496919387;-0.12338158321006398;-0.11935187068016417;-0.12062564761157457;-0.11831419135614762;-0.11787207626482066;-0.11764827992310356;-0.1206750802564096;-0.11419555601267528;-0.11240934932263857;-0.122902491061885;-0.12359861169358655;-0.11553814577393551;-0.12159839042747511;-0.1190235353257787;-0.12816087995257308;-0.11520841905536483;-0.12109260593687665;-0.12150551122952069;-0.12030718400118912;-0.12467204754774563;-0.1247480755173982;-0.12023934977675421;-0.12300422138345035;-0.12007851649290968;-0.1271405162927286;-0.1184829663210738;-0.1207048091374987;-0.12488606015179116;-0.11595725428259396;-0.12220239691880064;-0.09515700325919174;-0.11953820213126476;-0.12462078439482305;-0.12025557633814854;-0.11989425366601147;-0.1255005380805816;-0.12007335155350085;-0.11898217326364136;-0.11526400360452249;-0.12417825083179701;-0.11964353411353934;-0.12495692467262942;-0.10242141329510668;-0.11088082980361058;-0.11358353513207331;-0.11729746472760194;-0.12243996367258836;-0.12448592187038598;-0.11222234773457007;-0.1201206170567719;-0.12343039973373493;-0.12434181045024584;-0.11890079822630573;-0.11554161384240902;-0.1247641559238879;-0.12450533493616245;-0.11466237782053867;-0.11152218724936303;-0.12354716199218307;-0.12393409283075596;-0.11695765074995768;-0.12084139107806813;-0.12460693814817692;-0.12585964294664143;-0.1168111098694502
